Date,Open,High,Low,Close,Adj Close,Volume,RHT
2015-04-02,75.199997,75.449997,74.650002,75.099998,75.099998,1066000,RHT
2015-04-06,74.809998,75.830002,74.330002,75.370003,75.370003,1113800,RHT
2015-04-07,75.550003,76.110001,75.230003,75.379997,75.379997,726800,RHT
2015-04-08,75.309998,75.809998,74.870003,75.040001,75.040001,1086400,RHT
2015-04-09,75.070000,75.559998,74.360001,75.480003,75.480003,1049900,RHT
2015-04-10,75.139999,75.919998,74.900002,75.750000,75.750000,873000,RHT
2015-04-13,75.480003,76.500000,74.970001,75.029999,75.029999,898800,RHT
2015-04-14,75.209999,75.440002,74.580002,74.919998,74.919998,1046500,RHT
2015-04-15,75.279999,76.220001,75.040001,75.900002,75.900002,1345300,RHT
2015-04-16,75.580002,75.690002,74.750000,74.809998,74.809998,1327100,RHT
2015-04-17,74.160004,74.279999,73.339996,73.930000,73.930000,1382900,RHT
2015-04-20,74.120003,74.519997,73.830002,74.459999,74.459999,723600,RHT
2015-04-21,74.800003,75.760002,74.570000,75.220001,75.220001,868900,RHT
2015-04-22,75.500000,76.070000,74.860001,75.760002,75.760002,859600,RHT
2015-04-23,75.260002,77.080002,75.059998,76.849998,76.849998,1065600,RHT
2015-04-24,76.980003,77.070000,76.480003,76.830002,76.830002,768400,RHT
2015-04-27,76.889999,77.550003,76.290001,76.570000,76.570000,1005500,RHT
2015-04-28,76.550003,76.989998,76.040001,76.559998,76.559998,870700,RHT
2015-04-29,76.199997,76.849998,75.260002,76.419998,76.419998,1017800,RHT
2015-04-30,75.830002,76.459999,74.919998,75.260002,75.260002,1849300,RHT
2015-05-01,75.220001,75.889999,74.870003,75.360001,75.360001,1232300,RHT
2015-05-04,75.330002,75.500000,74.540001,74.779999,74.779999,1315600,RHT
2015-05-05,74.459999,75.309998,74.230003,75.000000,75.000000,1529300,RHT
2015-05-06,75.230003,75.410004,74.309998,74.750000,74.750000,701700,RHT
2015-05-07,74.480003,75.150002,74.269997,74.760002,74.760002,722400,RHT
2015-05-08,75.300003,76.209999,75.080002,75.980003,75.980003,703600,RHT
2015-05-11,75.830002,76.940002,75.559998,76.379997,76.379997,1283500,RHT
2015-05-12,75.709999,76.500000,75.070000,76.139999,76.139999,944000,RHT
2015-05-13,76.190002,76.889999,75.800003,76.589996,76.589996,805100,RHT
2015-05-14,76.870003,78.260002,76.599998,78.010002,78.010002,1212600,RHT
2015-05-15,78.099998,78.400002,77.239998,77.769997,77.769997,1026700,RHT
2015-05-18,77.449997,78.690002,77.269997,78.489998,78.489998,883300,RHT
2015-05-19,78.400002,78.629997,77.809998,78.139999,78.139999,1189400,RHT
2015-05-20,78.139999,78.870003,78.010002,78.480003,78.480003,534400,RHT
2015-05-21,78.570000,78.930000,77.839996,78.830002,78.830002,816800,RHT
2015-05-22,78.760002,79.349998,78.440002,78.809998,78.809998,626800,RHT
2015-05-26,78.440002,78.750000,77.010002,77.279999,77.279999,1048800,RHT
2015-05-27,77.309998,78.620003,77.120003,78.480003,78.480003,919900,RHT
2015-05-28,78.320000,78.599998,77.699997,77.779999,77.779999,917200,RHT
2015-05-29,77.589996,78.099998,76.849998,77.269997,77.269997,1815500,RHT
2015-06-01,77.559998,77.669998,76.260002,76.739998,76.739998,1395200,RHT
2015-06-02,76.489998,78.000000,76.320000,77.510002,77.510002,1299000,RHT
2015-06-03,77.870003,78.230003,77.379997,77.830002,77.830002,549900,RHT
2015-06-04,77.169998,77.779999,76.769997,77.029999,77.029999,766800,RHT
2015-06-05,76.900002,78.199997,76.320000,77.900002,77.900002,1797000,RHT
2015-06-08,78.220001,79.139999,78.000000,78.239998,78.239998,1634600,RHT
2015-06-09,78.379997,78.470001,77.129997,77.370003,77.370003,1067800,RHT
2015-06-10,77.910004,78.500000,77.500000,78.410004,78.410004,1739700,RHT
2015-06-11,78.820000,78.970001,78.110001,78.550003,78.550003,897800,RHT
2015-06-12,78.279999,78.550003,77.739998,78.190002,78.190002,894600,RHT
2015-06-15,77.839996,78.970001,77.370003,78.650002,78.650002,1722400,RHT
2015-06-16,78.709999,79.199997,78.110001,78.510002,78.510002,1557800,RHT
2015-06-17,78.739998,79.330002,78.029999,78.260002,78.260002,1707100,RHT
2015-06-18,78.209999,78.769997,78.019997,78.489998,78.489998,3580200,RHT
2015-06-19,79.400002,81.489998,78.550003,79.300003,79.300003,4648300,RHT
2015-06-22,79.779999,80.389999,78.940002,79.470001,79.470001,1837200,RHT
2015-06-23,79.779999,79.779999,78.769997,79.620003,79.620003,1256200,RHT
2015-06-24,79.459999,79.910004,78.410004,78.519997,78.519997,1058600,RHT
2015-06-25,79.040001,79.680000,78.779999,79.120003,79.120003,1427400,RHT
2015-06-26,79.300003,79.300003,77.040001,77.480003,77.480003,1376800,RHT
2015-06-29,76.699997,76.720001,75.400002,75.449997,75.449997,1086700,RHT
2015-06-30,76.029999,76.459999,75.449997,75.930000,75.930000,1213600,RHT
2015-07-01,76.650002,77.570000,76.500000,77.519997,77.519997,1805400,RHT
2015-07-02,77.160004,77.750000,76.510002,76.879997,76.879997,1003500,RHT
2015-07-06,76.320000,77.220001,75.809998,76.620003,76.620003,1314300,RHT
2015-07-07,76.779999,76.900002,75.580002,76.860001,76.860001,1196500,RHT
2015-07-08,76.529999,76.989998,75.930000,75.989998,75.989998,867500,RHT
2015-07-09,77.040001,77.839996,76.980003,77.260002,77.260002,977300,RHT
2015-07-10,78.139999,78.820000,77.790001,78.540001,78.540001,1094700,RHT
2015-07-13,79.000000,79.720001,78.839996,79.559998,79.559998,967600,RHT
2015-07-14,79.760002,81.010002,79.680000,80.690002,80.690002,1118700,RHT
2015-07-15,80.690002,80.739998,80.010002,80.099998,80.099998,1068200,RHT
2015-07-16,80.620003,80.980003,80.250000,80.589996,80.589996,660800,RHT
2015-07-17,80.540001,80.589996,79.000000,79.059998,79.059998,1373000,RHT
2015-07-20,79.300003,79.620003,78.669998,79.190002,79.190002,1170500,RHT
2015-07-21,78.800003,79.709999,78.239998,78.290001,78.290001,1118500,RHT
2015-07-22,78.050003,79.500000,77.959999,79.410004,79.410004,920000,RHT
2015-07-23,79.709999,80.470001,79.269997,79.339996,79.339996,535700,RHT
2015-07-24,79.230003,79.870003,78.430000,78.959999,78.959999,683600,RHT
2015-07-27,78.410004,78.839996,77.010002,77.160004,77.160004,970700,RHT
2015-07-28,77.500000,78.820000,76.599998,78.730003,78.730003,1293100,RHT
2015-07-29,78.459999,79.360001,78.199997,79.269997,79.269997,802700,RHT
2015-07-30,79.040001,79.650002,78.070000,79.449997,79.449997,625500,RHT
2015-07-31,79.660004,79.900002,78.980003,79.080002,79.080002,1033000,RHT
2015-08-03,78.970001,79.110001,77.760002,78.290001,78.290001,1041000,RHT
2015-08-04,78.129997,79.430000,78.070000,79.040001,79.040001,643300,RHT
