Date,Open,High,Low,Close,Adj Close,Volume,MAR
2014-01-02,49.029999,49.259998,48.570000,48.959999,46.533829,2127000,MAR
2014-01-03,49.000000,49.169998,48.639999,48.650002,46.239193,1248200,MAR
2014-01-06,48.830002,48.900002,48.250000,48.450001,46.049103,2163000,MAR
2014-01-07,48.650002,49.130001,48.480000,48.660000,46.248692,1766300,MAR
2014-01-08,48.759998,49.189999,48.730000,49.130001,46.695412,2036900,MAR
2014-01-09,49.130001,49.209999,48.810001,48.990002,46.562340,1263900,MAR
2014-01-10,49.139999,49.290001,48.740002,49.279999,46.837963,924500,MAR
2014-01-13,49.630001,49.630001,48.590000,48.750000,46.334232,2818300,MAR
2014-01-14,48.779999,49.430000,48.570000,49.340000,46.895004,1806500,MAR
2014-01-15,49.360001,49.889999,48.849998,49.820000,47.351215,1942900,MAR
2014-01-16,49.889999,50.599998,49.529999,50.570000,48.064049,4603200,MAR
2014-01-17,50.320000,50.860001,50.220001,50.619999,48.111572,3094600,MAR
2014-01-21,51.439999,51.500000,50.759998,50.790001,48.273148,3179000,MAR
2014-01-22,51.009998,51.529999,50.799999,51.169998,48.634315,3421800,MAR
2014-01-23,50.610001,51.160000,50.320000,50.580002,48.073551,2394000,MAR
2014-01-24,50.369999,50.490002,49.750000,49.759998,47.294182,3320300,MAR
2014-01-27,49.750000,50.680000,48.919998,49.049999,46.619370,3031400,MAR
2014-01-28,49.119999,49.970001,49.000000,49.700001,47.237160,1837400,MAR
2014-01-29,49.470001,49.650002,48.790001,48.860001,46.438786,2277900,MAR
2014-01-30,49.180000,49.490002,49.020000,49.310001,46.866493,1424900,MAR
2014-01-31,48.509998,49.689999,48.509998,49.299999,46.856983,2054300,MAR
2014-02-03,49.450001,49.520000,47.349998,47.470001,45.117664,3840900,MAR
2014-02-04,47.500000,48.169998,47.349998,47.980000,45.602394,2472400,MAR
2014-02-05,47.939999,48.000000,47.209999,47.889999,45.516850,2099800,MAR
2014-02-06,47.599998,48.959999,47.599998,48.759998,46.343739,2017600,MAR
2014-02-07,49.020000,49.349998,48.730000,49.240002,46.799961,1695000,MAR
2014-02-10,49.070000,49.610001,49.070000,49.360001,46.914005,1144200,MAR
2014-02-11,49.349998,50.000000,49.279999,49.689999,47.227654,1948900,MAR
2014-02-12,49.880001,50.169998,49.549999,49.650002,47.189640,1911700,MAR
2014-02-13,49.360001,50.200001,49.020000,50.110001,47.626842,2135900,MAR
2014-02-14,49.910000,51.580002,49.910000,51.520000,48.966976,3112500,MAR
2014-02-18,51.520000,51.740002,51.070000,51.380001,48.833912,2559800,MAR
2014-02-19,50.590000,51.980000,50.580002,51.540001,48.985977,3159200,MAR
2014-02-20,50.570000,51.840000,50.520000,51.790001,49.223602,3579300,MAR
2014-02-21,51.910000,52.720001,51.580002,52.509998,49.907906,3231300,MAR
2014-02-24,52.520000,53.970001,52.520000,53.470001,50.820343,3118300,MAR
2014-02-25,53.310001,53.919998,53.310001,53.860001,51.191013,1945400,MAR
2014-02-26,53.889999,54.240002,53.230000,53.439999,50.952644,2618300,MAR
2014-02-27,53.220001,53.880001,53.220001,53.860001,51.353100,2088800,MAR
2014-02-28,53.900002,54.410000,53.610001,54.230000,51.705875,2271500,MAR
2014-03-03,53.849998,53.919998,52.990002,53.290001,50.809628,3223800,MAR
2014-03-04,53.709999,54.009998,53.490002,53.830002,51.324493,2841100,MAR
2014-03-05,53.730000,53.939999,53.310001,53.889999,51.381706,2315100,MAR
2014-03-06,53.900002,54.799999,53.900002,54.599998,52.058659,2334700,MAR
2014-03-07,54.650002,55.029999,54.540001,54.790001,52.239815,2638300,MAR
2014-03-10,54.520000,54.910000,53.880001,54.189999,51.667736,1638100,MAR
2014-03-11,54.310001,54.759998,53.860001,54.040001,51.524723,1456700,MAR
2014-03-12,53.669998,54.070000,53.400002,54.029999,51.515179,1145000,MAR
2014-03-13,54.230000,54.290001,53.400002,53.709999,51.210079,1908800,MAR
2014-03-14,53.570000,54.279999,53.540001,53.880001,51.372177,2100500,MAR
2014-03-17,54.330002,54.619999,53.830002,54.080002,51.562866,1942100,MAR
2014-03-18,54.060001,54.520000,54.009998,54.419998,51.887039,1753400,MAR
2014-03-19,54.330002,54.630001,53.840000,54.230000,51.705875,1339800,MAR
2014-03-20,53.970001,54.450001,53.689999,54.000000,51.486580,1509600,MAR
2014-03-21,54.799999,55.250000,54.500000,55.250000,52.678402,5579100,MAR
